Extracted from asp_134486_01* Siemens symbols on 2023-05-17,
HB10_P,K31
HB11_N,J31
HB11_P,J30
HB12_N,F32
HB12_P,F31
HB13_N,E31
HB13_P,E30
HB14_N,K35
HB14_P,K34
HB15_N,J34
HB15_P,J33
HB16_N,F35
HB16_P,F34
HB17_N_CC,K38
HB17_P_CC,K37
HB18_N,J37
HB18_P,J36
HB19_N,E34
HB19_P,E33
HB20_N,F38
HB20_P,F37
HB21_N,E37
HB21_P,E36
LA00_N_CC,G7
LA00_P_CC,G6
LA01_N_CC,D9
LA01_P_CC,D8
LA02_N,H8
LA02_P,H7
LA03_N,G10
LA03_P,G9
LA04_N,H11
LA04_P,H10
LA05_N,D12
LA05_P,D11
LA06_N,C11
LA06_P,C10
LA07_N,H14
LA07_P,H13
LA08_N,G13
LA08_P,G12
LA09_N,D15
LA09_P,D14
LA10_N,C15
LA10_P,C14
LA11_N,H17
LA11_P,H16
LA12_N,G16
LA12_P,G15
LA13_N,D18
LA13_P,D17
LA14_N,C19
LA14_P,C18
LA15_N,H20
LA15_P,H19
LA16_N,G19
LA16_P,G18
LA17_N_CC,D21
LA17_P_CC,D20
LA18_N_CC,C23
LA18_P_CC,C22
LA19_N,H23
LA19_P,H22
LA20_N,G22
LA20_P,G21
LA21_N,H26
LA21_P,H25
LA22_N,G25
LA22_P,G24
LA23_N,D24
LA23_P,D23
LA24_N,H29
LA24_P,H28
LA25_N,G28
LA25_P,G27
LA26_N,D27
LA26_P,D26
LA27_N,C27
LA27_P,C26
LA28_N,H32
LA28_P,H31
LA29_N,G31
LA29_P,G30
LA30_N,H35
LA30_P,H34
LA31_N,G34
LA31_P,G33
LA32_N,H38
LA32_P,H37
LA33_N,G37
LA33_P,G36
PG_C2M,D1
PG_M2C,F1
PRSNT_M2C_L,H2
RES0,B40
SCL,C30
SDA,C31
TCK,D29
TDI,D30
TDO,D31
TMS,D33
TRST_L,D34
VADJ_1,E39
VADJ_2,F40
VADJ_3,G39
VADJ_4,H40
VIO_B_M2C_1,J39
VIO_B_M2C_2,K40
VREF_A_M2C,H1
VREF_B_M2C,K1
